motion_id,style,caption,source_file
034161,old_elderly,the person is bent over like a chicken.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034161.txt
M034161,old_elderly,"a person is bent over, stands up and walks backwards",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034161.txt
034162,old_elderly,a person bends over to look at something.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034162.txt
M034162,old_elderly,"a person picks something up with their left hand, walks forward, puts it down, and walks back",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034162.txt
034163,old_elderly,"a person picks something up, puts it down somewhere else, then starts moving something in front of them.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034163.txt
M034163,old_elderly,the person was moving their arms straight out to the side.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034163.txt
034164,old_elderly,"a person is bent over, stands up and walks backwards",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034164.txt
M034164,old_elderly,a person reaches around in front of them with their left hand.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034164.txt
034165,old_elderly,the person washes their face and hair,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034165.txt
M034165,old_elderly,the person was spinning around in place and jumped.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034165.txt
034166,old_elderly,"a person picks something up from the ground, twists the top off and begins drinking or eating whatever it is.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034166.txt
M034166,old_elderly,"a person picks something up from the ground, twists the top off and begins drinking or eating whatever it is.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034166.txt
034167,old_elderly,a person is bent over and is moving his right hand like he is washing something,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034167.txt
