rank,style,motion_id,best_caption,best_caption_idx,similarity,source_file
1,angry_aggressive,M004061,a person punches with both hands as if they are fighting.,0,0.8721073,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004061.txt
2,angry_aggressive,004061,a person punches with both hands as if they are fighting.,0,0.8721073,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004061.txt
3,angry_aggressive,M005280,person puts fists up in a fighting stance twice,2,0.8665549,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005280.txt
4,angry_aggressive,005280,person puts fists up in a fighting stance twice,2,0.8665549,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005280.txt
5,angry_aggressive,M006538,a person winds up and throws a punch with their left hand,2,0.8626793,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006538.txt
6,angry_aggressive,006538,a person winds up and throws a punch with their right hand,2,0.8622583,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006538.txt
7,angry_aggressive,M006750,an angry person throws and kicks objects around.,2,0.8619164,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006750.txt
8,angry_aggressive,006750,an angry person throws and kicks objects around.,2,0.8619164,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006750.txt
9,angry_aggressive,008044,a person who repeatedly punches with their right hand,1,0.8614593,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008044.txt
10,angry_aggressive,M011828,a person fights something by kicking and punching.,2,0.859602,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011828.txt
11,angry_aggressive,011828,a person fights something by kicking and punching.,2,0.859602,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011828.txt
12,angry_aggressive,004384,"a person angrily punches forward with their left hand, then kicks forward with their right leg",1,0.85951275,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004384.txt
13,angry_aggressive,M004384,"a person angrily punches forward with their right hand, then kicks forward with their left leg",1,0.8590121,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004384.txt
14,angry_aggressive,M013344,"in a fighting stance, person punches downward with their right hand.",0,0.85872644,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013344.txt
15,angry_aggressive,012768,a person punches with their right hand,2,0.85870147,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012768.txt
16,angry_aggressive,010855,a person punches with their right hand,1,0.85870147,/Data/yash.bhardwaj/datasets/HumanML3D/texts/010855.txt
17,angry_aggressive,006468,a person punches with their right hand,2,0.85870147,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006468.txt
18,angry_aggressive,M014155,a person punches with their right hand,1,0.85870147,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014155.txt
19,angry_aggressive,006257,a person punches with their right hand,0,0.85870147,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006257.txt
20,angry_aggressive,013881,a person punches with right hand,1,0.85846114,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013881.txt
21,angry_aggressive,012935,a person punches with right fist.,1,0.8580153,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012935.txt
22,angry_aggressive,002163,"a person uses their right hand to punch something, with both of their hands up",1,0.8547376,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002163.txt
23,angry_aggressive,M002163,"a person uses their left hand to punch something, with both of their hands up",1,0.8543825,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002163.txt
24,angry_aggressive,M008044,a person who repeatedly punches with their left hand,1,0.8541502,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008044.txt
25,angry_aggressive,M002210,a person takes a step forward and then throws a punch with their left hand,1,0.8535483,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002210.txt
26,angry_aggressive,M007520,a person throws a forward punch with left arm,0,0.8534179,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007520.txt
27,angry_aggressive,M002606,a person throwing a punch with right hand.,1,0.8533449,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002606.txt
28,angry_aggressive,M012935,a person punches with left fist.,1,0.8528977,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012935.txt
29,angry_aggressive,M004930,a person punches with right hand.,1,0.8528517,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004930.txt
30,angry_aggressive,000586,a person punches with right hand.,1,0.8528517,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000586.txt
31,angry_aggressive,M006468,a person punches with their left hand,2,0.852782,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006468.txt
32,angry_aggressive,M012768,a person punches with their left hand,2,0.852782,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012768.txt
33,angry_aggressive,M010855,a person punches with their left hand,1,0.852782,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M010855.txt
34,angry_aggressive,M006257,a person punches with their left hand,0,0.852782,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006257.txt
35,angry_aggressive,014155,a person punches with their left hand,1,0.852782,/Data/yash.bhardwaj/datasets/HumanML3D/texts/014155.txt
36,angry_aggressive,013081,a person throwing a right punch,0,0.8526943,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013081.txt
37,angry_aggressive,M008888,a person punches forward with their right hand,2,0.85255826,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008888.txt
38,angry_aggressive,013655,a person throwing punches with both arms.,0,0.85251546,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013655.txt
39,angry_aggressive,M013655,a person throwing punches with both arms.,0,0.85251546,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013655.txt
40,angry_aggressive,M004260,a person throws a punch with their right hand.,2,0.8524616,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004260.txt
41,angry_aggressive,002551,a person throws a punch with their right hand.,2,0.8524616,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002551.txt
42,angry_aggressive,M013081,a person throwing a left punch,0,0.8518689,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013081.txt
43,angry_aggressive,008244,a person throws a punch with the right hand.,1,0.851281,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008244.txt
44,angry_aggressive,013203,a person punches with their right hand.,0,0.8512659,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013203.txt
