motion_id,style,caption,source_file
030161,angry_aggressive,person walks backward counterclockwise in a full circle then another five steps backward then turns,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030161.txt
M030161,angry_aggressive,walking backwards in a circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030161.txt
030162,angry_aggressive,a man walks backwards in a clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030162.txt
M030162,angry_aggressive,walking backwards in a circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030162.txt
030163,angry_aggressive,a man walks backwards in a circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030163.txt
M030163,angry_aggressive,person walks backward counterclockwise in a full circle then another five steps backward then turns,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030163.txt
030164,angry_aggressive,a person grabbed something and walked backwards,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030164.txt
M030164,angry_aggressive,"a person turns around, walks until they leap, and then turns back to walk to the origin.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030164.txt
030165,angry_aggressive,person takes a few steps forward then makes a very pointed attempt to turnaround.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030165.txt
M030165,angry_aggressive,person walks backward counterclockwise in a full circle then another five steps backward then turns,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030165.txt
030166,angry_aggressive,person walks backward counterclockwise in a full circle then another five steps backward then turns,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030166.txt
M030166,angry_aggressive,a person walked in right direction and after left direction,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030166.txt
030167,angry_aggressive,person walks backward clockwise in a full circle then another five steps backward then turns,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030167.txt
M030167,angry_aggressive,a person walks backwards in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030167.txt
030168,angry_aggressive,a person does a high five with their right hand.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030168.txt
M030168,angry_aggressive,walking backwards and then sitting.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030168.txt
030169,angry_aggressive,"the man turns backwards, sits down, stands back up, then walks forward.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030169.txt
M030169,angry_aggressive,this person walks backwards then forward as a monster then back again.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030169.txt
030170,angry_aggressive,a person walks backwards in a circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030170.txt
M030170,angry_aggressive,a person walks backwards in a circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030170.txt
030171,angry_aggressive,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030171.txt
M030171,angry_aggressive,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030171.txt
030172,angry_aggressive,a person who is walking backwards,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030172.txt
M030172,angry_aggressive,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030172.txt
030173,angry_aggressive,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030173.txt
M030173,angry_aggressive,a person walks backwards in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030173.txt
030174,angry_aggressive,a person walks backwards in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030174.txt
M030174,angry_aggressive,a person walks backwards in a circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030174.txt
030175,angry_aggressive,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030175.txt
M030175,angry_aggressive,a person who is walking backwards,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030175.txt
030176,angry_aggressive,a person walks backwards in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/030176.txt
M030176,angry_aggressive,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M030176.txt
