rank,style,motion_id,best_caption,best_caption_idx,similarity,source_file
1,robot_mechanical,M006033,person moves by twitching both arms in a robotic way,1,0.8435929,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006033.txt
2,robot_mechanical,006033,person moves by twitching both arms in a robotic way,1,0.8435929,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006033.txt
3,robot_mechanical,M000127,a person moves their right arm at head level back and forth,0,0.8425214,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000127.txt
4,robot_mechanical,M008195,person uses right arm to make circular motion in front of body,1,0.8373544,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008195.txt
5,robot_mechanical,M002568,a person moves their right hand in a circular motion on the left side of their body,1,0.8327387,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002568.txt
6,robot_mechanical,M001907,a person is moving their arms and hands from one side of their body to another,1,0.83215237,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001907.txt
7,robot_mechanical,001907,a person is moving their arms and hands from one side of their body to another,1,0.83215237,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001907.txt
8,robot_mechanical,008195,person uses left arm to make circular motion in front of body,1,0.8318111,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008195.txt
9,robot_mechanical,M012265,a person uses their right arm out in front of their body in a clockwise rotating motion,0,0.8310723,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012265.txt
10,robot_mechanical,004178,a person moves their right arm up and down in front of them,2,0.829515,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004178.txt
11,robot_mechanical,M000221,a person moves their right arm in a circular motion,1,0.82895195,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000221.txt
12,robot_mechanical,000127,a person moves their left arm at head level back and forth,0,0.827474,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000127.txt
13,robot_mechanical,010974,a person moves its arm in an upward motion as if to pick something up with both hands,2,0.8247141,/Data/yash.bhardwaj/datasets/HumanML3D/texts/010974.txt
14,robot_mechanical,M010974,a person moves its arm in an upward motion as if to pick something up with both hands,2,0.8247141,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M010974.txt
15,robot_mechanical,M000172,a person makes a big motion with their right arm,0,0.8245426,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000172.txt
16,robot_mechanical,013125,a person does a range of motion with hands and arms.,1,0.8228268,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013125.txt
17,robot_mechanical,M013125,a person does a range of motion with hands and arms.,1,0.8228268,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013125.txt
18,robot_mechanical,005640,"a person steps forward briskly, then makes robotic movements with both arms.",0,0.8226843,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005640.txt
19,robot_mechanical,M005640,"a person steps forward briskly, then makes robotic movements with both arms.",0,0.8226843,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005640.txt
20,robot_mechanical,004979,person takes right arm and stretches it in front of body,1,0.8201463,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004979.txt
21,robot_mechanical,M011446,"a person moves their hands slightly over their head and rotates, as if adjusting a mechanism.",1,0.81901664,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011446.txt
22,robot_mechanical,011446,"a person moves their hands slightly over their head and rotates, as if adjusting a mechanism.",1,0.81901664,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011446.txt
