rank,style,motion_id,best_caption,best_caption_idx,similarity,source_file
1,old_elderly,M012839,a person gets up from a seated position,2,0.7954509,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012839.txt
2,old_elderly,012839,a person gets up from a seated position,2,0.7954509,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012839.txt
3,old_elderly,M000127,a person moves their right arm at head level back and forth,0,0.79168373,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000127.txt
4,old_elderly,000127,a person moves their left arm at head level back and forth,0,0.7895403,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000127.txt
5,old_elderly,M007946,a person gets up from a seated position and sits back down after a second,2,0.78749466,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007946.txt
6,old_elderly,007946,a person gets up from a seated position and sits back down after a second,2,0.78749466,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007946.txt
7,old_elderly,011897,a person uses their left arm to get up from a kneeling position,2,0.78746146,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011897.txt
8,old_elderly,M011897,a person uses their right arm to get up from a kneeling position,2,0.78632414,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011897.txt
9,old_elderly,M009897,a person bends down and picks something up with their left hand,1,0.78381634,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009897.txt
10,old_elderly,009897,a person bends down and picks something up with their right hand,1,0.7821517,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009897.txt
11,old_elderly,001415,a person tries to reach something by stretching,1,0.78188765,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001415.txt
12,old_elderly,M001415,a person tries to reach something by stretching,1,0.78188765,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001415.txt
13,old_elderly,M001123,a person bends down to pick something up with their left hand,0,0.7808554,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001123.txt
14,old_elderly,000837,a person hurriedly throws themselves into a chair,2,0.7794734,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000837.txt
15,old_elderly,M000837,a person hurriedly throws themselves into a chair,2,0.7794734,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000837.txt
16,old_elderly,M005960,person moves slowly before bending down into a sitting own with legs raised,1,0.7785142,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005960.txt
17,old_elderly,005960,person moves slowly before bending down into a sitting own with legs raised,1,0.7785142,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005960.txt
18,old_elderly,013883,a person stands up from seated position without using hands or arms for assistance,1,0.77818525,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013883.txt
19,old_elderly,M013883,a person stands up from seated position without using hands or arms for assistance,1,0.77818525,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013883.txt
20,old_elderly,M000063,"a person bends down to grab something, then moves their arm",2,0.7781345,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000063.txt
21,old_elderly,000063,"a person bends down to grab something, then moves their arm",2,0.7781345,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000063.txt
22,old_elderly,009741,a person uses his left arm to do a passing something back motion,0,0.7774602,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009741.txt
23,old_elderly,004170,a person sits and moves their left arm,0,0.775434,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004170.txt
24,old_elderly,001123,a person bends down to pick something up with their right hand,0,0.77464855,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001123.txt
25,old_elderly,M005074,the person quickly moves their arm while sitting down,1,0.7743206,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005074.txt
27,old_elderly,M008130,a person bends forward slightly at the waist and continually uses the left hand to stroke something softly,2,0.773705,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008130.txt
28,old_elderly,M004170,a person sits and moves their right arm,0,0.77340424,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004170.txt
29,old_elderly,M007752,a person moves left arm up and back to the knee,1,0.77303,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007752.txt
30,old_elderly,M009741,a person uses his right arm to do a passing something back motion,0,0.7723211,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009741.txt
31,old_elderly,M003472,"a person takes a few steps forward and bend down slightly, takes their left arm and opens something",1,0.77145284,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003472.txt
32,old_elderly,M006275,"a person reaches forward with their left arm, then puts their arm back down at their side.",1,0.7706786,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006275.txt
33,old_elderly,M009606,a person moves arm back and forth and then sets something down on the ground.,0,0.7706391,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009606.txt
34,old_elderly,009606,a person moves arm back and forth and then sets something down on the ground.,0,0.7706391,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009606.txt
35,old_elderly,006275,"a person reaches forward with their right arm, then puts their arm back down at their side.",1,0.7696694,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006275.txt
36,old_elderly,007752,a person moves right arm up and back to the knee,1,0.7691485,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007752.txt
37,old_elderly,004067,a person reaches forward with the right hand and then lets their arm drop to their side.,0,0.7687882,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004067.txt
