motion_id,style,caption,source_file
032001,proud_confident,the person is walking around the bend to the right.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032001.txt
M032001,proud_confident,the person is doing a moonwalk.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032001.txt
032002,proud_confident,the person is doing some acting.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032002.txt
M032002,proud_confident,a person ice skating in a circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032002.txt
032003,proud_confident,a person ice skating in a circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032003.txt
M032003,proud_confident,the person was walking around and he took 11 steps.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032003.txt
032004,proud_confident,man walks backwards starting with his left foot first.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032004.txt
M032004,proud_confident,someone walk in a backward motion.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032004.txt
032005,proud_confident,a person is walking counter counterclockwise backwords in a closing spiral.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032005.txt
M032005,proud_confident,a person ice skating in a circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032005.txt
032006,proud_confident,a person who is walking backwards,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032006.txt
M032006,proud_confident,the person was walking backwards in a circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032006.txt
032007,proud_confident,a person is walking counter clockwise backwords in a closing spiral.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032007.txt
M032007,proud_confident,a person who is walking backwards,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032007.txt
032008,proud_confident,walking backwards and then turning around,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032008.txt
M032008,proud_confident,a person shuffles backwards and then sits down.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032008.txt
032009,proud_confident,"a person stepping backwards, moving in circles to avoid something or someone.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032009.txt
M032009,proud_confident,the person is dancing the waltz.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032009.txt
032010,proud_confident,"person walks backwards and bumps into something behind them, they seem unfocussed",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032010.txt
M032010,proud_confident,a person walks backwards and then forwards several times.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032010.txt
032011,proud_confident,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032011.txt
M032011,proud_confident,a person walks backwards and then duckwalks forward.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032011.txt
032012,proud_confident,"a person walks backwards, then changes directions and continues walking backwards.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032012.txt
M032012,proud_confident,a person moonwalks backward for 4 seconds.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032012.txt
032013,proud_confident,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032013.txt
M032013,proud_confident,a person walks backwards in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032013.txt
032014,proud_confident,a person who seems to be dancing in the style of waltz,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032014.txt
M032014,proud_confident,a person walks backward in a counter-clockwise circle while rotating their body clockwise.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032014.txt
032015,proud_confident,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032015.txt
