rank,style,motion_id,best_caption,best_caption_idx,similarity,source_file
1,proud_confident,012195,person stands still and aggressively points straight forward,1,0.8270546,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012195.txt
2,proud_confident,M012195,person stands still and aggressively points straight forward,1,0.8270546,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012195.txt
3,proud_confident,008143,a person stretches right hand forward,0,0.80648595,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008143.txt
4,proud_confident,M008261,a person is standing with hands in front of them and slightly moves them.,0,0.80431837,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008261.txt
5,proud_confident,008261,a person is standing with hands in front of them and slightly moves them.,0,0.80431837,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008261.txt
6,proud_confident,002042,a person tilts over then stand up shifting both hands to the right.,0,0.8042048,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002042.txt
7,proud_confident,001761,person moves forward and moves right hand with something in it carefully,1,0.8011165,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001761.txt
8,proud_confident,M007083,person stands still and throws something over to there right,2,0.80084723,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007083.txt
9,proud_confident,M011861,a person slightly turns to the left and raises their right hand,1,0.7992526,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011861.txt
10,proud_confident,012879,a figure gestures confidently around waist and shoulder,0,0.79904014,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012879.txt
11,proud_confident,M012879,a figure gestures confidently around waist and shoulder,0,0.79904014,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012879.txt
12,proud_confident,M002042,a person tilts over then stand up shifting both hands to the left.,0,0.7959584,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002042.txt
13,proud_confident,M011929,a person standing still then putting their left hand up,2,0.7958021,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011929.txt
14,proud_confident,011929,a person standing still then putting their right hand up,2,0.7955358,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011929.txt
15,proud_confident,007083,person stands still and throws something over to there left,2,0.7924463,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007083.txt
16,proud_confident,M008298,"a person, using both arms, directs people forward.",0,0.792369,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008298.txt
17,proud_confident,008298,"a person, using both arms, directs people forward.",0,0.792369,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008298.txt
18,proud_confident,013860,a person standing looks to grab something with their left hand and then put it down infront of them,2,0.7921655,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013860.txt
19,proud_confident,011861,a person slightly turns to the right and raises their left hand,1,0.7920627,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011861.txt
20,proud_confident,001533,person walks forward and picks something up with both hands,0,0.7917032,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001533.txt
21,proud_confident,M001533,person walks forward and picks something up with both hands,0,0.7917032,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001533.txt
22,proud_confident,002818,a person extends their arms back and forth,1,0.79142034,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002818.txt
23,proud_confident,M002818,a person extends their arms back and forth,1,0.79142034,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002818.txt
24,proud_confident,012630,person extends arms forward and sweeps them outward,2,0.7912728,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012630.txt
25,proud_confident,M012630,person extends arms forward and sweeps them outward,2,0.7912728,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012630.txt
26,proud_confident,M003018,a person is standing the brings right and left hand forward.,0,0.7909018,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003018.txt
