motion_id,style,caption,source_file
035441,robot_mechanical,"a person dances around the room, holding someone.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035441.txt
M035441,robot_mechanical,a person performs a choreographed dance move.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035441.txt
035442,robot_mechanical,a person walks in a counter clock wise circle backwards.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035442.txt
M035442,robot_mechanical,a person walks in a clockwise circle while turning in different directions as if disoriented.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035442.txt
035443,robot_mechanical,a person is dancing around ballet style on their tip-toes and waving their arms accordingly.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035443.txt
M035443,robot_mechanical,a person who seems to be dancing in the style of waltz,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035443.txt
035444,robot_mechanical,"a person makes several small hand gestures, walks forward and to the right, turns around and appears to pour something into a container.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035444.txt
M035444,robot_mechanical,a person is dancing in a twirling motion while holding their arms up as if they were dancing with a partner.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035444.txt
035445,robot_mechanical,a person is dancing around ballet style on their tip-toes and waving their arms accordingly.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035445.txt
M035445,robot_mechanical,a person grabbed something and person lean in near to face,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035445.txt
035446,robot_mechanical,a person performs a salsa dance.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035446.txt
M035446,robot_mechanical,a person performs a salsa dance.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035446.txt
035447,robot_mechanical,a person moves in rythym to the musical beat moving his arms. at the same time the person moves his feet back and forth in a,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035447.txt
M035447,robot_mechanical,a person performs a salsa dance.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035447.txt
035448,robot_mechanical,a person is doing a dance.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035448.txt
M035448,robot_mechanical,"a person dances around, first wiggling their hips and then moving their left leg towards the right and then back and bending forward from the hips and moving their body all around.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035448.txt
035449,robot_mechanical,"a person dances with their arms out in front of them, like a salsa.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035449.txt
M035449,robot_mechanical,the person is doing the salsa.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035449.txt
035450,robot_mechanical,"a person dances with their arms out in front of them, like a salsa.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035450.txt
M035450,robot_mechanical,"a person dances around the room, holding someone.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035450.txt
035451,robot_mechanical,a person turns around and walks away.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035451.txt
M035451,robot_mechanical,a person stands on one leg and tries to pull the other leg up into the air,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035451.txt
035452,robot_mechanical,a person doing the dancing in the rain dance.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035452.txt
M035452,robot_mechanical,a person twisting their back around and stretching it.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035452.txt
035453,robot_mechanical,a person appears to be doing dances.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035453.txt
M035453,robot_mechanical,"a person makes small steps foward, turns around, makes quick small steps back, then stops and turns around.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035453.txt
035454,robot_mechanical,"a person holds an object in their hands, brings it to eye level, and turns left and right.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035454.txt
M035454,robot_mechanical,"a person turns around, then walks forward and puts something down.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035454.txt
035455,robot_mechanical,a person 34 degrees to the right while walking and as he does so.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035455.txt
M035455,robot_mechanical,the person is shaking hands.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035455.txt
035456,robot_mechanical,a person is doing the chicken dance; two reps.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035456.txt
M035456,robot_mechanical,a person is swinging side to side as a warm up,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035456.txt
035457,robot_mechanical,a person twists their upper body from right to left with their arms hinged.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035457.txt
M035457,robot_mechanical,a person is moving their hips in a circular motion with their arms strechted outward to the sides,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035457.txt
035458,robot_mechanical,"a person looks to their right, then to their left, then back a little farther to the right while slightly twisting.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/035458.txt
M035458,robot_mechanical,"a person turns slightly to their left, then brings their arms out to their sides.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M035458.txt
